CAS,FOUND_BY,DTXSID,PREFERRED_NAME,AVERAGE_MASS,MOLECULAR_FORMULA,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
39222-73-6,CASRN,DTXSID9068168,"1,3,4-Thiadiazol-2-amine, 5-(1,1-dimethylethyl)-",157.24,C6H11N3S,5.91562,N/A,0.000796159,1.324,0.73,N/A,126.124,102.139,0.5,0.0138995,N/A,N/A,N/A,N/A,0.00142561,0.0157398,5.57E-11,6.12434,6.63502,288.269,1.43E-07,0.122495,7.45753,47.1213,2.13962,138.17,N/A,N/A,0.00863023,0.006603
38677-85-9,CASRN,DTXSID4048565,Flunixin,296.249,C14H11F3N2O2,20.8449,360.557,4.39542E-05,1.382,1.014,1.06905E-05,200.208,162.697,0.078,0.00220293,N/A,N/A,0.000117761,N/A,3.00E-08,4.12098E-05,1.09E-11,5.26218,3.54167,309.899,8.22E-10,0.377351,9.11185,412.522,3.36057,202.528,N/A,N/A,2.84E-10,6.97678E-05
38194-50-2,CASRN,DTXSID4023624,Sulindac,356.41,C20H17FO3S,4.88652,N/A,2.80543E-05,1.546,1.021,3.85E-07,301.289,188.942,N/A,0.00129122,N/A,N/A,N/A,N/A,N/A,0.000338065,3.27E-11,3.86167,6.73568,384.279,1.01E-08,1.12724,10.3327,748.086,3.42017,183.024,N/A,N/A,1.66E-09,1.93031E-05
378-44-9,CASRN,DTXSID3022667,Betamethasone,392.467,C22H29FO5,12.0504,426.908,4.50817E-05,1.32,0.847,1.65959E-05,300.553,260.297,0.283,0.000356451,N/A,N/A,N/A,N/A,1.02E-09,0.000114815,6.24E-11,2.26177,97.9132,391.254,6.56E-11,0.528342,9.3012,53107.3,1.92005,247.381,N/A,N/A,3.55E-10,0.000198773
3739-38-6,CASRN,DTXSID1038321,3-Phenoxybenzoic acid,214.22,C13H10O3,16.0325,340.343,6.88652E-05,1.247,0.764,6.56145E-05,153.566,138.493,0.748,0.0110408,N/A,N/A,0.000147911,N/A,4.9545E-06,0.000201372,1.13E-11,3.12249,4.82248,341.998,1.18E-09,0.0955195,8.9072,258.336,3.906,149.393,3.95,N/A,5.19E-07,7.96622E-05
371775-74-5,CASRN,DTXSID30190660,N-Desmethyl rosuvastatin,467.51,C21H26FN3O6S,0.463447,N/A,9.52796E-05,1.48,0.898,3.40E-08,288.482,246.438,0.482,0.00963829,N/A,N/A,N/A,N/A,2.75E-11,4.33511E-05,6.19E-11,11.5006,3.3541,323.19,1.43E-11,0.191368,9.45733,39.774,2.49291,200.134,N/A,N/A,1.27E-09,7.28113E-06
37115-43-8,CASRN,DTXSID60190613,alpha-Hydroxyalprazolam,324.77,C17H13ClN4O,20.9411,435.726,3.14051E-05,1.395,0.545,0.000002208,285.197,194.105,-0.006,0.00497737,N/A,N/A,N/A,N/A,2.49E-10,5.90201E-05,1.75E-11,87.2212,3.3521,336.16,8.23E-09,0.769378,10.3485,427.962,1.07333,172.294,N/A,N/A,9.06E-09,3.31E-07
36507-30-9,CASRN,DTXSID60891456,Carbamazepine epoxide,252.273,C15H12N2O2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.05E-11,3.77179,6.65152,320.34,5.17E-09,1.0517,11.4075,883.054,2.09092,208.43,N/A,N/A,6.50E-11,0.00059409
36322-90-4,CASRN,DTXSID5021170,Piroxicam,331.35,C15H13N3O4S,1.43549,N/A,N/A,1.497,1.017,N/A,312.981,214.738,0.024,0.00256448,N/A,N/A,N/A,N/A,5.96E-11,0.000255859,1.37E-11,1.53912,4.24596,357.073,5.98E-10,0.460994,10.4678,42.9914,2.51969,198.963,N/A,N/A,2.43E-10,7.50446E-05
36282-47-0,CASRN,DTXSID7023691,Tramadol hydrochloride,299.84,C16H26ClNO2,109.396,317.976,6.36796E-05,1.032,0.701,0.000038815,151.159,94.772,0.395,0.00125314,40.878,143.291,7.04693E-05,17.2982,4.30527E-06,0.00125603,1.66E-11,9.63071,3.35581,290.902,1.11581E-06,6.27518,9.9362,567.204,0.458805,175.196,N/A,N/A,2.14E-07,8.85854E-05
